Name,Surname,Birthdate,Street Address,City,State,Zip,Phone,Interests,Photo
Darrel,Abbott,2/26/1954,"P.O. Box 911, 6065 Cras Rd.",Austin,TX,13011,1 (500) 832-4790,"Knitting, Fishkeeping, Auto Racing",men (60).jpg
Anjolie,Abbott,10/15/1981,"699 Et, Av.",Kansas City,MO,31212,1 (164) 649-3935,"Quilting, Birdwatching, Polo, Foreign Language Learning, Kayaking",women (23).jpg
Kyla,Adkins,6/16/1934,"P.O. Box 594, 9891 Mus. Rd.",West Valley City,Utah,96842,1 (205) 794-8936,"Curling, Photography, Sea Glass Collecting, Cheerleading",women (78).jpg
Francesca,Aguilar,2/20/1931,1301 Velit Road,Norfolk,Virginia,30973,1 (325) 867-4988,"Skateboarding, Whittling, Lacemaking, Writing, Mahjong, Inline Skating, Jogging",women (49).jpg
Ian,Aguirre,3/22/1946,903 Urna Avenue,Saint Paul,MN,52167,1 (471) 412-7595,"People Watching, Astrology, Mushroom Hunting/Mycology",women (85).jpg
Ima,Albert,9/30/1964,597 In Avenue,Indianapolis,Indiana,62730,1 (304) 533-2160,"Mineral Collecting, Dowsing, Association Football",men (87).jpg
Arthur,Allen,1/1/1954,"8799 At, Road",Columbia,MD,77839,1 (477) 222-3118,"Soapmaking, Mineral Collecting, Dance, Martial Arts, Pottery, Badminton",men (33).jpg
Brianna,Allison,7/2/1936,"P.O. Box 205, 490 Arcu. Ave",Fort Worth,Texas,83071,1 (773) 315-8495,"Ultimate Disc , Dancing, Board Sports, Hooping, Blacksmithing",women (55).jpg
Mollie,Allison,11/20/1955,4269 Netus Ave,Springfield,Missouri,94842,1 (220) 758-2400,"Ice Skating, Photography, Vintage Cars, Mineral Collecting",men (91).jpg
Lani,Andrews,3/10/1948,"P.O. Box 626, 4503 Donec Ave",Saint Louis,Missouri,35798,1 (471) 702-6015,"Knife Making, Soapmaking, Art Collecting",women (89).jpg
Alika,Armstrong,3/20/1986,Ap #925 Tristique Rd.,Burlington,Vermont,57095,1 (103) 658-4938,"Airsoft, Larping, Mountain Biking",men (65).jpg
Erica,Arnold,11/28/1940,5846 Egestas Street,Reading,Pennsylvania,42583,1 (983) 207-1380,"Debate, Rock Balancing, Basketball, Judo, Aircraft Spotting, Drawing",women (22).jpg
Rana,Ashley,1/25/1953,958 Cursus Av.,Seattle,WA,75360,1 (909) 244-0035,"Kombucha Brewing, Baseball, Dance, Tatting, Bus Spotting, Kayaking",men (62).jpg
Dara,Atkins,6/28/1978,Ap #418 Eu Street,Frankfort,KY,92203,1 (541) 388-0557,"Candle Making, Rock Balancing, Element Collecting, Watching Television, Gaming",women (86).jpg
Vernon,Avila,6/12/1965,860 Velit Ave,Fresno,CA,93087,1 (872) 485-0314,"Topiary, Laser Tag, Shooting, Learning",women (57).jpg
Carla,Avila,12/18/1952,134 Et Av.,Helena,Montana,24258,1 (238) 796-3402,"Cheerleading, Driving, Coloring, Triathlon, Quilting, Calligraphy, Shooting Sport",men (12).jpg
Nyssa,Baird,1/13/1958,"223 Ut, Street",Paradise,NV,30415,1 (738) 314-4030,"Tai Chi, Poker, Hunting",women (92).jpg
Phoebe,Baker,8/28/1965,"P.O. Box 466, 1047 Turpis Rd.",Newport News,VA,32391,1 (980) 215-9652,"Animal Fancy, Lucid Dreaming, Shortwave Listening, Cycling, Rock Climbing, Dowsing",women (13).jpg
Theodore,Ballard,4/28/1965,5335 Mollis. St.,Reno,Nevada,15733,1 (951) 541-9310,"Photography, Coloring, Road Biking, Foraging, Ghost Hunting",women (82).jpg
Diana,Barker,7/17/1975,Ap #385 Arcu. St.,Wyoming,WY,56543,1 (901) 271-6525,"Learning, Footbag, Kitesurfing, Reading",women (18).jpg
